P,READ_UNCOMMITTED MEAN,READ_UNCOMMITTED STD,READ_COMMITTED MEAN,READ_COMMITTED STD,REPEATABLE_READ MEAN,REPEATABLE_READ STD,SERIALIZABLE MEAN,SERIALIZABLE STD
1,1,0,1,0,1,0,1,0
10,0.82784,0.38459357,0.90857456,0.1536357,1,0,1,0
20,0.589537,0.299982985,0.7497468,0.4609071,1,0,1,0
30,0.456379,0.69136065,0.82312,0.301232,1,0,1,0
40,0.65736,0.615310979,0.924694,0.20510366,1,0,1,0
50,0.703472,0.70453107,0.50792554,0.565245278,1,0,1,0
60,0.7408536,0.595768523,0.783526767,0.68894672,1,0,1,0
70,0.90346832,0.408264723,0.7502312,0.771620326,1,0,1,0
80,0.5571932,0.45725649,0.83472,0.385810163,1,0,1,0
90,0.671231,0.563339995,0.93655584,0.433264813,1,0,1,0
100,0.78091,0.467572196,0.833534698,0.411601572,1,0,1,0
