P,READ_UNCOMMITTED MEAN,READ_UNCOMMITTED STD,READ_COMMITTED MEAN,READ_COMMITTED STD,REPEATABLE_READ MEAN,REPEATABLE_READ STD,SERIALIZABLE MEAN,SERIALIZABLE STD,,,,,,,,,,,,,,
1,1.518412,0.240226902,0.9302212,0.168524073,0.957321,0.174697805,1.3227717,0.212891577,,,,,,,,,,,,,,
10,0.9023,0.242653436,0.8368,0.122453436,0.8823,0.235853436,1.223,0.283855436,,,,,,,,,,,,,,
20,2.134524,0.237800368,1.0236424,0.21459471,1.032342,0.113542174,1.4225434,0.141927718,,,,,,,,,,,,,,
30,1.52,0.475600735,1.2357,0.235422364,1.37785,0.13469878,1.523896,0.263673047,,,,,,,,,,,,,,
40,1.623689,0.532672823,1.469823,0.713781583,1.7023412,0.367011575,1.793423,0.411052964,,,,,,,,,,,,,,
50,2.1864283,0.606714346,1.9023412,0.515707194,1.8423,0.350680892,2.08123,0.42081707,,,,,,,,,,,,,,
60,2.28102832,0.485371477,2.301323,0.412565755,2.401237823,0.533908624,2.4312323,0.280544713,,,,,,,,,,,,,,
70,2.79012372,0.230520764,2.50123823,0.240226902,2.5012734,0.212268093,2.5032823,0.43514959,,,,,,,,,,,,,,
80,2.9032341,0.254721711,2.780912,0.224371926,3.02231,0.782485992,3.0423312,0.249627277,,,,,,,,,,,,,,
90,2.9502311,0.860734592,2.967123,0.603572918,3.201234,0.826305208,3.280912,0.661044166,,,,,,,,,,,,,,
100,2.280675413,0.80048317,2.008748667,0.346876041,2.334156,0.560338219,2.307415707,0.50750633,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,average,SD
