S,READ_UNCOMMITTED MEAN,READ_UNCOMMITTED STD,READ_COMMITTED MEAN,READ_COMMITTED STD,REPEATABLE_READ MEAN,REPEATABLE_READ STD,SERIALIZABLE MEAN,SERIALIZABLE STD
100,0.7341,0.24618203,0.7652331,0.25729372,1,0,1,0
200,0.442912,0.4325,0.50124382,0.1924282,1,0,1,0
300,0.301923,0.25085,0.345858236,0.1215336,1,0,1,0
400,0.2314743,0.080272,0.294996731,0.1063419,1,0,1,0
500,0.220451714,0.0923128,0.262219316,0.111658995,1,0,1,0
600,0.165338786,0.08769716,0.163887073,0.100493096,1,0,1,0
700,0.103336741,0.04384858,0.131109658,0.066995397,1,0,1,0
800,0.098169904,0.020880276,0.090768225,0.044663598,1,0,1,0
900,0.052222222,0.015555556,0.074248509,0.032188723,1,0,1,0
1000,0.050133333,0.01532567,0.063913434,0.0249617,1,0,1,0
